Year,Month,Country_of_Origin,Purpose,Primary_District,Accommodation_Type,Duration_Days,Group_Size,Age,Prior_Visits_SL,Season,Crisis_Period,Monthly_Arrivals
2015,8,India,Business,Colombo,4-Star,4.0,4,36.0,0,Dry Season,0,150828
2017,12,USA,Business,Gampaha,5-Star,2.0,1,32.0,0,Wet Season,0,235768
2022,1,Other,Leisure,Galle,3-Star,12.0,3,18.0,0,Wet Season,0,72058
2015,8,Other,Leisure,Mirissa,3-Star,8.0,3,20.0,0,Dry Season,0,154338
2018,3,Maldives,Leisure,Colombo,3-Star,5.0,1,31.0,3,Wet Season,0,211874
2016,6,USA,Leisure,Mirissa,3-Star,11.0,2,40.0,0,Dry Season,0,146798
2022,12,Maldives,Transit,Colombo,4-Star,1.0,5,43.0,0,Wet Season,0,77791
2015,2,India,Business,Gampaha,Budget Hotel,5.0,3,,1,Wet Season,0,184782
2016,6,China,Shopping,Colombo,Hostel,6.0,4,34.0,2,Dry Season,0,139107
2019,6,Other,Cultural,Sigiriya,3-Star,9.0,1,42.0,0,Dry Season,0,61956
2016,4,India,Business,Gampaha,3-Star,4.0,1,50.0,0,Wet Season,0,148091
2023,4,Germany,Eco-Tourism,Yala,Homestay,8.0,4,,0,Wet Season,0,120291
2022,3,Indai,Leisure,Colombo,3-Star,12.0,2,38.0,0,Wet Season,0,64006
2023,5,Japan,Leisure,Colombo,3-Star,9.0,2,34.0,0,Dry Season,0,88446
2018,12,France,Eco-Tourism,Yala,3-Star,,2,38.0,0,Wet Season,0,246614
2018,8,India,Medical,Colombo,Homestay,10.0,1,48.0,1,Dry Season,0,173264
2018,8,United Kingdom,Adventure,Knuckles Range,Homestay,13.0,1,39.0,4,Dry Season,0,185114
2023,9,France,Leisure,Bentota,4-Star,5.0,2,50.0,1,Dry Season,0,96903
2017,2,India,Leisure,Colombo,Homestay,11.0,2,32.0,2,Wet Season,0,209521
2016,3,India,Leisure,Colombo,4-Star,7.0,3,20.0,2,Wet Season,0,189572
2016,8,China,Shopping,Colombo,Eco-Lodge,,1,49.0,0,Dry Season,0,177210
2019,8,India,VFR,Gampaha,3-Star,12.0,3,,0,Dry Season,0,149054
2017,3,India,Leisure,Galle,Eco-Lodge,5.0,6,18.0,1,Wet Season,0,182954
2017,7,Germany,Leisure,Bentota,Budget Hotel,13.0,1,46.0,2,Dry Season,0,176318
2023,1,Other,Adventure,Nuwara Eliya,5-Star,14.0,2,42.0,4,Wet Season,0,149329
2018,1,Other,Adventure,Sigiriya,4-Star,17.0,1,48.0,1,Wet Season,0,237447
2018,1,Japan,Leisure,Colombo,Homestay,5.0,4,31.0,0,Wet Season,0,253111
2016,12,Australia,Leisure,Bentota,Eco-Lodge,5.0,2,47.0,2,Wet Season,0,228482
2019,2,China,Group Tour,Galle,Homestay,4.0,2,40.0,0,Wet Season,0,171458
2016,10,China,Group Tour,Kandy,3-Star,6.0,2,40.0,1,Wet Season,0,151819
2023,7,France,Eco-Tourism,Yala,3-Star,8.0,5,29.0,2,Dry Season,0,127679
2015,5,South Korea,Group Tour,Galle,5-Star,9.0,2,58.0,3,Dry Season,0,113121
2016,8,Canada,Adventure,Ella,Boutique,14.0,2,50.0,1,Dry Season,0,160314
2022,4,Other,Cultural,Sigiriya,Eco-Lodge,4.0,3,34.0,0,Wet Season,0,54968
2023,2,India,Medical,Colombo,Budget Hotel,29.0,4,63.0,0,Wet Season,0,150078
2015,5,France,Cultural,Kandy,Budget Hotel,9.0,5,57.0,0,Dry Season,0,117975
2017,4,India,Business,Colombo,Boutique,3.0,1,27.0,0,Wet Season,0,164099
2018,6,Other,Adventure,Nuwara Eliya,Hostel,8.0,1,33.0,0,Dry Season,0,160520
2018,10,Italy,Cultural,Kandy,Eco-Lodge,7.0,4,48.0,0,Wet Season,0,161330
2019,10,India,Medical,Colombo,Hostel,5.0,3,22.0,0,Wet Season,0,128883
2018,7,Russia,Beach,Hikkaduwa,Boutique,6.0,1,34.0,0,Dry Season,0,187507
2017,1,Other,Cultural,Kandy,Budget Hotel,7.0,1,58.0,1,Wet Season,0,221819
2019,5,Australia,Leisure,Bentota,Boutique,5.0,3,34.0,0,Dry Season,1,43751
2019,11,Australia,Leisure,Colombo,3-Star,11.0,2,32.0,1,Wet Season,0,148528
2017,12,India,Leisure,Galle,4-Star,9.0,1,56.0,1,Wet Season,0,235922
2022,7,India,Medical,Colombo,Budget Hotel,25.0,2,41.0,2,Dry Season,0,60933
2023,11,Other,Leisure,Colombo,Hostel,9.0,2,36.0,2,Wet Season,0,126044
2015,10,Other,Leisure,Bentota,5-Star,,2,,1,Wet Season,0,125696
2016,10,Other,Adventure,Sigiriya,Hostel,11.0,3,19.0,0,Wet Season,0,135253
2016,1,Other,Adventure,Nuwara Eliya,Budget Hotel,,3,41.0,1,Wet Season,0,223601
2017,4,Switzerland,Adventure,Sigiriya,Boutique,7.0,5,,1,Wet Season,0,165866
2016,11,Other,Adventure,Nuwara Eliya,5-Star,9.0,2,39.0,0,Wet Season,0,167021
2019,12,India,Leisure,Colombo,3-Star,7.0,2,37.0,0,Wet Season,0,223753
2022,4,India,VFR,Kandy,Homestay,10.0,2,45.0,2,Wet Season,0,47945
2015,8,France,Cultural,Kandy,Homestay,7.0,1,47.0,0,Dry Season,0,143454
2023,5,India,VFR,Gampaha,Eco-Lodge,,2,33.0,1,Dry Season,0,96261
2023,10,Germany,Cultural,Sigiriya,Boutique,4.0,3,18.0,3,Wet Season,0,112261
2019,3,Indai,Business,Colombo,Eco-Lodge,5.0,1,45.0,1,Wet Season,0,185879
2023,9,Netherlands,Cultural,Kandy,Homestay,9.0,1,31.0,0,Dry Season,0,99264
2017,1,Germany,Leisure,Galle,Budget Hotel,13.0,2,23.0,4,Wet Season,0,218907
2019,1,Other,Adventure,Nuwara Eliya,3-Star,7.0,1,27.0,0,Wet Season,0,212247
2016,11,China,Group Tour,Colombo,4-Star,7.0,2,27.0,1,Wet Season,0,179791
2019,12,Other,Adventure,Nuwara Eliya,5-Star,15.0,2,40.0,0,Wet Season,0,229400
2016,1,Maldives,Leisure,Mirissa,Hostel,,2,43.0,0,Wet Season,0,197010
2019,7,Other,Cultural,Kandy,4-Star,7.0,1,40.0,0,Dry Season,0,165960
2019,8,India,Medical,Colombo,Hostel,10.0,1,33.0,2,Dry Season,0,149213
2023,7,Germany,Eco-Tourism,Knuckles Range,Boutique,7.0,1,48.0,0,Dry Season,0,114163
2023,1,India,Business,Colombo,3-Star,3.0,3,36.0,1,Wet Season,0,163863
2018,4,Maldives,Transit,Colombo,Hostel,1.0,6,34.0,0,Wet Season,0,166833
2023,9,Australia,Leisure,Galle,5-Star,10.0,4,32.0,3,Dry Season,0,96981
2019,11,Maldives,Leisure,Bentota,Eco-Lodge,11.0,2,51.0,4,Wet Season,0,168777
2016,10,India,Business,Gampaha,5-Star,4.0,1,43.0,0,Wet Season,0,140200
2016,12,Other,Cultural,Kandy,4-Star,9.0,2,23.0,1,Wet Season,0,222780
2017,12,France,Cultural,Anuradhapura,Boutique,,2,59.0,0,Wet Season,0,247131
2022,7,Australia,Leisure,Galle,Budget Hotel,6.0,4,34.0,1,Dry Season,0,59487
2019,1,USA,Cultural,Kandy,Homestay,4.0,3,33.0,1,Wet Season,0,182131
2017,6,Russia,Honeymoon,Bentota,4-Star,18.0,1,22.0,0,Dry Season,0,146590
2017,8,India,VFR,Gampaha,3-Star,14.0,1,27.0,0,Dry Season,0,163259
2016,8,Other,Cultural,Polonnaruwa,3-Star,4.0,1,39.0,1,Dry Season,0,165949
2016,12,Indai,Leisure,Mirissa,3-Star,6.0,1,68.0,0,Wet Season,0,222790
2018,4,Maldives,Business,Gampaha,4-Star,4.0,3,31.0,0,Wet Season,0,162624
2023,5,Netherlands,Cultural,Kandy,5-Star,4.0,1,50.0,0,Dry Season,0,96480
2015,6,United Kingdom,Leisure,Galle,4-Star,12.0,1,23.0,1,Dry Season,0,108092
2015,2,India,Leisure,Colombo,Budget Hotel,10.0,1,46.0,0,Wet Season,0,173679
2019,3,India,VFR,Gampaha,Hostel,16.0,1,34.0,0,Wet Season,0,172717
2023,9,Russia,Beach,Mirissa,4-Star,5.0,4,23.0,0,Dry Season,0,95421
2016,1,South Korea,Leisure,Colombo,5-Star,,4,48.0,0,Wet Season,0,214371
2023,4,India,VFR,Kandy,Eco-Lodge,14.0,5,40.0,2,Wet Season,0,106142
2018,7,Other,Adventure,Ella,Budget Hotel,16.0,1,34.0,0,Dry Season,0,202064
2019,1,Other,Leisure,Colombo,Boutique,9.0,1,36.0,2,Wet Season,0,184667
2017,8,Netherlands,Eco-Tourism,Yala,Homestay,5.0,1,36.0,2,Dry Season,0,165470
2018,5,Other,Leisure,Colombo,4-Star,5.0,1,61.0,0,Dry Season,0,160343
2019,5,Maldives,Business,Colombo,5-Star,4.0,1,34.0,0,Dry Season,1,41784
2018,9,Maldives,Business,Gampaha,5-Star,2.0,2,45.0,0,Dry Season,0,152513
2018,3,South Korea,Leisure,Mirissa,Homestay,7.0,5,28.0,1,Wet Season,0,235418
2017,1,France,Cultural,Sigiriya,Eco-Lodge,9.0,3,44.0,0,Wet Season,0,211357
2017,10,Italy,Cultural,Sigiriya,Eco-Lodge,8.0,3,30.0,0,Wet Season,0,139989
2019,10,India,Business,Gampaha,Hostel,2.0,1,24.0,0,Wet Season,0,134984
2016,2,Other,Leisure,Mirissa,3-Star,12.0,1,25.0,0,Wet Season,0,194543
2023,10,India,Medical,Colombo,Eco-Lodge,22.0,2,34.0,1,Wet Season,0,107391
2023,9,Other,Leisure,Bentota,Boutique,11.0,2,51.0,3,Dry Season,0,95894
2022,11,China,Leisure,Colombo,Budget Hotel,,2,51.0,1,Wet Season,0,67603
2019,7,India,Leisure,Bentota,Homestay,9.0,4,30.0,1,Dry Season,0,156461
2017,6,India,Business,Colombo,5-Star,3.0,5,41.0,0,Dry Season,0,141209
2018,4,Other,Leisure,Bentota,Hostel,8.0,1,26.0,0,Wet Season,0,184107
2016,4,Other,Adventure,Ella,Budget Hotel,10.0,6,22.0,2,Wet Season,0,153341
2019,12,Australia,Leisure,Galle,Budget Hotel,,6,32.0,0,Wet Season,0,229402
2016,11,United Kingdom,Cultural,Anuradhapura,Homestay,5.0,2,20.0,0,Wet Season,0,174268
2018,11,India,Business,Colombo,Eco-Lodge,,3,42.0,0,Wet Season,0,191577
2015,7,China,Leisure,Mirissa,Budget Hotel,13.0,5,43.0,0,Dry Season,0,157442
2023,11,United Kingdom,Cultural,Polonnaruwa,Eco-Lodge,6.0,4,26.0,1,Wet Season,0,123153
2023,3,Italy,Leisure,Colombo,Eco-Lodge,8.0,1,32.0,1,Wet Season,0,142319
2019,2,Italy,Cultural,Polonnaruwa,Hostel,7.0,5,18.0,1,Wet Season,0,194978
2015,7,Germany,Eco-Tourism,Wilpattu,Hostel,9.0,2,42.0,0,Dry Season,0,153746
2018,9,Italy,Honeymoon,Bentota,3-Star,19.0,2,52.0,4,Dry Season,0,152734
2017,8,Other,Adventure,Sigiriya,Hostel,17.0,1,37.0,0,Dry Season,0,176054
2019,9,Maldives,Transit,Colombo,5-Star,1.0,2,34.0,3,Dry Season,0,114292
2018,7,Switzerland,Leisure,Colombo,3-Star,11.0,2,47.0,0,Dry Season,0,194958
2016,2,India,VFR,Kandy,Eco-Lodge,17.0,1,18.0,1,Wet Season,0,215350
2017,3,Germany,Cultural,Polonnaruwa,Budget Hotel,6.0,3,46.0,0,Wet Season,0,194884
2015,12,Other,Adventure,Sigiriya,Boutique,16.0,3,47.0,0,Wet Season,0,203714
2023,2,Maldives,Leisure,Galle,Boutique,13.0,2,23.0,0,Wet Season,0,157822
2019,5,Other,Leisure,Galle,3-Star,5.0,2,,1,Dry Season,1,41294
2018,4,Other,Adventure,Ella,Budget Hotel,,2,49.0,0,Wet Season,0,166946
2023,11,United Kingdom,Honeymoon,Bentota,Eco-Lodge,9.0,1,18.0,0,Wet Season,0,127150
2016,1,Japan,Leisure,Bentota,Eco-Lodge,8.0,5,29.0,3,Wet Season,0,218075
2019,11,Japan,Eco-Tourism,Sinharaja,Homestay,8.0,3,26.0,1,Wet Season,0,153762
2015,12,Germany,Cultural,Anuradhapura,Homestay,4.0,2,42.0,1,Wet Season,0,232719
2016,2,Other,Cultural,Polonnaruwa,Homestay,5.0,2,42.0,0,Wet Season,0,209401
2018,7,Other,Leisure,Colombo,Eco-Lodge,10.0,5,63.0,0,Dry Season,0,197077
2018,12,USA,Cultural,Polonnaruwa,4-Star,6.0,3,33.0,0,Wet Season,0,253210
2016,9,South Korea,Leisure,Mirissa,Eco-Lodge,9.0,3,30.0,4,Dry Season,0,136091
